"EdgeBetweenness","interaction","name","peso","repeticiones","repeticiones_idx","selected","shared interaction","shared name"
"587.25","-","tala (-) ganado","-1.0","1","140","false","-","tala (-) ganado"
"87.75","-","tala (-) fauna","-1.0","1","139","false","-","tala (-) fauna"
"425.0","-","contaminación (-) selva","-1.0","1","138","false","-","contaminación (-) selva"
"200.0","-","contaminación (-) cambio climático","1.0","1","137","false","-","contaminación (-) cambio climático"
"136.35714285714286","-","descanso del suelo (-) polinizadores","1.0","1","133","false","-","descanso del suelo (-) polinizadores"
"423.85714285714295","-","descanso del suelo (-) ganado","1.0","1","132","false","-","descanso del suelo (-) ganado"
"37.78571428571429","-","descanso del suelo (-) fertilidad del suelo","1.0","1","131","false","-","descanso del suelo (-) fertilidad del suelo"
"201.53571428571422","-","polinizadores (-) árboles","1.0","1","130","false","-","polinizadores (-) árboles"
"146.03571428571422","-","polinizadores (-) pastos","1.0","1","129","false","-","polinizadores (-) pastos"
"128.3690476190476","-","polinizadores (-) diversidad de plantas","1.0","1","128","false","-","polinizadores (-) diversidad de plantas"
"162.41666666666663","-","polinizadores (-) bebederos y represas","1.0","1","127","false","-","polinizadores (-) bebederos y represas"
"456.0","-","infiltración (-) agua","1.0","1","136","false","-","infiltración (-) agua"
"44.70000000000001","-","machetear (-) arbustos y malezas","-1.0","2","58","false","-","machetear (-) arbustos y malezas"
"44.70000000000001","-","machetear (-) enfermedades del ganado","-1.0","1","117","false","-","machetear (-) enfermedades del ganado"
"44.70000000000001","-","machetear (-) plagas","-1.0","1","116","false","-","machetear (-) plagas"
"254.70000000000007","-","machetear (-) conservación de la biodiversidad","-1.0","1","115","false","-","machetear (-) conservación de la biodiversidad"
"79.2","-","machetear (-) pastos","1.0","3","34","false","-","machetear (-) pastos"
"116.16666666666664","-","acarrear agua (-) agua","1.0","2","56","false","-","acarrear agua (-) agua"
"308.83333333333326","-","acarrear agua (-) ganado","1.0","3","33","false","-","acarrear agua (-) ganado"
"61.33333333333334","-","tormenta (-) pastos","-1.0","1","112","false","-","tormenta (-) pastos"
"32.0","-","tormenta (-) bebederos y represas","1.0","1","111","false","-","tormenta (-) bebederos y represas"
"306.66666666666663","-","tormenta (-) ganado","1.0","1","110","false","-","tormenta (-) ganado"
"302.49999999999994","-","siembra (-) ganado","1.0","1","135","false","-","siembra (-) ganado"
"57.50000000000001","-","siembra (-) pastos","1.0","4","27","false","-","siembra (-) pastos"
"49.0","-","mantenimiento del lienzo (-) pastos","1.0","1","105","false","-","mantenimiento del lienzo (-) pastos"
"293.93333333333334","-","mantenimiento del lienzo (-) ganado","1.0","11","4","false","-","mantenimiento del lienzo (-) ganado"
"60.26666666666666","-","huracanes (-) bebederos y represas","-1.0","2","55","false","-","huracanes (-) bebederos y represas"
"252.18333333333322","-","huracanes (-) mantenimiento del lienzo","-1.0","2","54","false","-","huracanes (-) mantenimiento del lienzo"
"23.183333333333323","-","huracanes (-) pastos","-1.0","2","53","false","-","huracanes (-) pastos"
"122.68333333333328","-","huracanes (-) árboles","-1.0","2","52","false","-","huracanes (-) árboles"
"270.5928571428571","-","huracanes (-) selva","-1.0","1","104","false","-","huracanes (-) selva"
"44.85000000000001","-","huracanes (-) lluvia","1.0","6","16","false","-","huracanes (-) lluvia"
"300.0","-","gases de efecto invernadero (-) cambio climático","1.0","2","49","false","-","gases de efecto invernadero (-) cambio climático"
"30.25","-","bebederos y represas (-) pastos","1.0","1","114","false","-","bebederos y represas (-) pastos"
"107.91666666666669","-","bebederos y represas (-) agua","1.0","7","14","false","-","bebederos y represas (-) agua"
"275.84999999999997","-","bebederos y represas (-) ganado","1.0","1","113","false","-","bebederos y represas (-) ganado"
"51.66666666666665","-","rotación de potreros (-) erosión","-1.0","1","94","false","-","rotación de potreros (-) erosión"
"165.0","-","rotación de potreros (-) ganado","1.0","3","30","false","-","rotación de potreros (-) ganado"
"33.33333333333333","-","rotación de potreros (-) pastos","1.0","2","48","false","-","rotación de potreros (-) pastos"
"184.59285714285716","-","sequía (-) selva","-1.0","1","134","false","-","sequía (-) selva"
"119.64285714285718","-","sequía (-) ganado","-1.0","2","67","false","-","sequía (-) ganado"
"11.25","-","sequía (-) pastos","-1.0","5","23","false","-","sequía (-) pastos"
"185.86666666666665","-","sequía (-) plagas","1.0","2","66","false","-","sequía (-) plagas"
"24.75","-","sequía (-) lluvia","-1.0","3","37","false","-","sequía (-) lluvia"
"39.25","-","sequía (-) agua","-1.0","2","65","false","-","sequía (-) agua"
"152.0","-","suelo desmontado (-) lluvia","-1.0","1","118","false","-","suelo desmontado (-) lluvia"
"40.0","-","suelo desmontado (-) erosión","1.0","2","59","false","-","suelo desmontado (-) erosión"
"127.0","-","cuidado veterinario (-) plagas","-0.7142857142857143","7","15","false","-","cuidado veterinario (-) plagas"
"250.98333333333326","-","cuidado veterinario (-) ganado","1.0","2","57","false","-","cuidado veterinario (-) ganado"
"30.999999999999993","-","rociar (-) ganado","1.0","1","84","false","-","rociar (-) ganado"
"54.99999999999999","-","rociar (-) selva","-1.0","2","42","false","-","rociar (-) selva"
"12.0","-","rociar (-) plagas","-1.0","5","20","false","-","rociar (-) plagas"
"6.0","-","rociar (-) arbustos y malezas","-1.0","5","19","false","-","rociar (-) arbustos y malezas"
"7.999999999999999","-","rociar (-) pastos","1.0","1","83","false","-","rociar (-) pastos"
"13.999999999999996","-","rociar (-) diversidad de plantas","-1.0","1","82","false","-","rociar (-) diversidad de plantas"
"30.0","-","rociar (-) conservación de la biodiversidad","-1.0","2","41","false","-","rociar (-) conservación de la biodiversidad"
"1442.0666666666673","-","alimento para ganado (-) selva","1.0","1","121","false","-","alimento para ganado (-) selva"
"150.9","-","alimento para ganado (-) ganado","1.0","15","3","false","-","alimento para ganado (-) ganado"
"122.7","-","enfermedades del ganado (-) ganado","-0.2","5","22","false","-","enfermedades del ganado (-) ganado"
"3.7222222222222223","-","árboles (-) pastos","-1.0","1","120","false","-","árboles (-) pastos"
"67.70238095238096","-","árboles (-) alimento para ganado","1.0","2","60","false","-","árboles (-) alimento para ganado"
