"AverageShortestPathLength","BetweennessCentrality","categoria_cons","cent_grado","cent_grado_idx","cent_int","cent_int_idx","ClosenessCentrality","ClusteringCoefficient","Eccentricity","edge_count","edge_count_idx","EdgeCount","Indegree","indice","IsSingleNode","name","NeighborhoodConnectivity","node_count","node_count_idx","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress","tipo"
"2.8","0.0","manejo","0.05555555555555555","36","0.0","37","0.35714285714285715","1.0","5","2","37","2","0","37","false","tala","15.0","2","66","2","0","false","0","tala","0","transmisor"
"2.32","0.0","global","0.05555555555555555","35","0.0","36","0.4310344827586207","0.5","4","2","36","2","0","36","false","contaminación","14.0","2","65","2","0","false","0","contaminación","0","transmisor"
"2.5384615384615383","0.0","suelo","0.08333333333333333","32","0.0","35","0.393939393939394","0.0","4","3","33","3","0","35","false","descanso del suelo","10.666666666666666","2","61","3","0","false","0","descanso del suelo","0","transmisor"
"2.92","0.08996598639455784","biodiversidad","0.1388888888888889","23","0.0039115646258503405","20","0.3424657534246575","0.1","5","5","30","5","1","34","false","polinizadores","9.4","2","57","4","0","false","0","polinizadores","207","ordinario"
"3.3333333333333335","0.0","suelo","0.05555555555555555","34","0.0","34","0.3","0.5","5","2","35","2","1","33","false","infiltración","14.0","3","50","1","0","false","0","infiltración","0","ordinario"
"2.6153846153846154","0.0","manejo","0.1388888888888889","22","0.0","33","0.38235294117647056","0.15","4","8","25","5","0","32","false","machetear","9.8","7","25","5","0","false","0","machetear","0","transmisor"
"2.72","0.0","manejo","0.05555555555555555","33","0.0","32","0.3676470588235294","1.0","5","5","28","2","0","31","false","acarrear agua","17.0","5","32","2","0","false","0","acarrear agua","0","transmisor"
"2.72","0.0","agua","0.08333333333333333","31","0.0","31","0.3676470588235294","0.5","5","3","32","3","0","30","false","tormenta","17.666666666666668","3","44","3","0","false","0","tormenta","0","transmisor"
"2.7916666666666665","0.0","manejo","0.08333333333333333","30","0.0","30","0.35820895522388063","0.6666666666666666","5","6","27","3","1","29","false","siembra","19.0","5","36","2","0","false","0","siembra","0","ordinario"
"2.7083333333333335","0.005502645502645502","manejo","0.1111111111111111","26","4.232804232804233E-4","24","0.3692307692307692","0.4166666666666667","4","15","17","4","2","28","false","mantenimiento del lienzo","15.25","12","14","2","0","false","0","mantenimiento del lienzo","39","ordinario"
"2.0833333333333335","0.36647581254724115","agua","0.19444444444444442","19","0.017506356077784644","14","0.48","0.2857142857142857","4","17","14","7","1","27","false","huracanes","12.0","8","20","6","0","false","0","huracanes","1075","ordinario"
"3.2","0.0","global","0.027777777777777776","37","0.0","29","0.3125","0.0","5","2","34","1","0","26","false","gases de efecto invernadero","11.0","2","55","1","0","false","0","gases de efecto invernadero","0","transmisor"
"2.7083333333333335","0.11906084656084655","manejo","0.2222222222222222","17","0.006221340388007055","19","0.3692307692307692","0.2857142857142857","5","17","16","8","5","25","false","bebederos y represas","12.285714285714286","12","15","3","1","false","0","bebederos y represas","454","ordinario"
"2.6","0.0","manejo","0.08333333333333333","29","0.0","28","0.3846153846153846","0.3333333333333333","4","6","26","3","0","24","false","rotación de potreros","17.666666666666668","6","29","3","0","false","0","rotación de potreros","0","transmisor"
"1.9583333333333333","0.27726379440665144","agua","0.2222222222222222","16","0.011559128701985846","16","0.5106382978723405","0.39285714285714285","3","18","11","8","2","23","false","sequía","15.125","14","13","6","0","false","0","sequía","1176","ordinario"
"2.7083333333333335","0.0","suelo","0.08333333333333333","28","0.0","27","0.3692307692307692","0.5","4","5","29","3","1","22","false","suelo desmontado","11.0","2","56","2","0","false","0","suelo desmontado","0","ordinario"
"2.75","0.1666534391534391","manejo","0.08333333333333333","27","0.006600529100529101","18","0.36363636363636365","0.3333333333333333","5","10","21","3","1","21","false","cuidado veterinario","13.0","9","17","2","0","false","0","cuidado veterinario","432","ordinario"
"2.0384615384615383","0.0","manejo","0.19444444444444442","18","0.0","26","0.4905660377358491","0.21428571428571427","3","17","12","7","0","20","false","rociar","13.0","14","12","7","0","false","0","rociar","0","transmisor"
"2.375","1.169021164021164","manejo","0.25","10","0.050648148148148164","8","0.42105263157894735","0.35714285714285715","3","31","9","9","7","19","false","alimento para ganado","14.25","16","8","2","1","false","0","alimento para ganado","2960","ordinario"
"2.9166666666666665","0.021190476190476197","manejo","0.1111111111111111","25","0.0011772486772486772","22","0.34285714285714286","0.4166666666666667","5","9","22","4","3","18","false","enfermedades del ganado","11.25","5","34","1","0","false","0","enfermedades del ganado","126","ordinario"
"2.4583333333333335","0.4650724363819604","biodiversidad","0.2222222222222222","15","0.0228867472915092","12","0.4067796610169491","0.23214285714285715","4","15","18","8","4","17","false","árboles","12.0","9","18","4","0","false","0","árboles","1320","ordinario"
"2.25","0.3571164021164019","biodiversidad","0.2222222222222222","14","0.020211640211640212","13","0.4444444444444444","0.19047619047619047","4","11","19","8","5","16","false","conservación de la biodiversidad","10.714285714285714","7","22","3","1","false","0","conservación de la biodiversidad","948","ordinario"
"1.5833333333333333","2.694242252456538","global","0.5277777777777778","3","0.14058785130213702","2","0.6315789473684211","0.1323529411764706","3","48","4","19","8","15","false","selva","8.058823529411764","21","4","11","2","false","0","selva","6852","ordinario"
"2.8","0.026587301587301587","biodiversidad","0.1388888888888889","21","0.0013359788359788359","21","0.35714285714285715","0.25","5","17","15","5","3","14","false","arbustos y malezas","13.4","8","21","2","0","false","0","arbustos y malezas","160","ordinario"
"2.8333333333333335","0.12378306878306874","suelo","0.2222222222222222","13","0.008492063492063492","17","0.3529411764705882","0.21428571428571427","4","10","20","8","6","13","false","erosión","10.714285714285714","5","31","2","1","false","0","erosión","359","ordinario"
"2.7083333333333335","0.22561287477954142","manejo","0.2777777777777778","8","0.012799823633156968","15","0.3692307692307692","0.2","5","50","3","10","7","12","false","plagas","10.6","22","3","3","0","false","0","plagas","619","ordinario"
"1.8846153846153846","0.0","manejo","0.25","9","0.0","25","0.5306122448979592","0.1527777777777778","3","34","7","9","0","11","false","quemas","10.222222222222221","19","6","9","0","false","0","quemas","0","transmisor"
"2.0","0.6410644998740238","agua","0.41666666666666663","4","0.04529810577429626","9","0.5","0.25824175824175827","3","37","5","15","8","10","false","lluvia","10.857142857142858","15","10","7","1","false","0","lluvia","2338","ordinario"
"2.2916666666666665","1.4492636684303353","global","0.3333333333333333","7","0.07936067019400352","4","0.4363636363636364","0.19090909090909092","4","17","13","12","6","9","false","cambio climático","9.545454545454545","7","23","6","1","false","0","cambio climático","3962","ordinario"
"3.5416666666666665","0.011734693877551014","suelo","0.1111111111111111","24","5.10204081632653E-4","23","0.2823529411764706","0.25","5","5","31","4","3","8","false","fertilidad del suelo","11.5","4","42","1","0","false","0","fertilidad del suelo","46","ordinario"
"2.6666666666666665","1.4514795918367347","manejo","0.6388888888888888","2","0.05525836597265169","6","0.375","0.1225296442687747","4","84","2","23","21","7","false","pastos","7.913043478260869","23","2","2","0","false","0","pastos","3618","ordinario"
"1.6666666666666667","2.342770849080372","manejo","0.38888888888888884","5","0.1293898737946357","3","0.6","0.2196969696969697","3","34","8","14","2","6","false","desmonte","10.75","20","5","12","2","false","0","desmonte","4950","ordinario"
"2.4583333333333335","1.3053224993701182","agua","0.3611111111111111","6","0.07014939645892025","5","0.4067796610169491","0.22727272727272727","4","37","6","13","8","5","false","agua","10.727272727272727","15","11","5","2","false","0","agua","2914","ordinario"
"3.0416666666666665","0.6058767951625095","biodiversidad","0.16666666666666666","20","0.03173028470647519","10","0.32876712328767127","0.2","4","8","24","6","4","4","false","diversidad de plantas","10.5","6","28","2","0","false","0","diversidad de plantas","1468","ordinario"
"2.75","0.5729365079365079","biodiversidad","0.2222222222222222","12","0.029841269841269842","11","0.36363636363636365","0.23809523809523808","5","27","10","8","5","3","false","fauna","11.0","15","9","3","1","false","0","fauna","1085","ordinario"
"2.4583333333333335","1.0361199294532628","suelo","0.2222222222222222","11","0.053078002244668916","7","0.4067796610169491","0.30357142857142855","4","8","23","8","4","2","false","conservación del suelo","14.125","4","38","4","0","false","0","conservación del suelo","2782","ordinario"
"2.0","5.9925491307634156","manejo","0.7222222222222222","1","0.30975228475228483","1","0.5","0.08893280632411067","4","113","1","26","21","1","false","ganado","7.0","27","1","5","3","false","0","ganado","12575","ordinario"
