categoria_cons,categoria_simp,cent_grado,cent_grado_idx,cent_int,cent_int_idx,comunidad,edge_count,edge_count_idx,indice,name,node_count,node_count_idx,NumChildren,NumDescendents,selected,shared name,tipo
,sociales,0.0985915492957747,26,0.055310753409345,6,0,10,26,1,bienestar,5,31,,,false,bienestar,ordinario
biodiversidad,conservación,0.436619718309859,2,0.168367434895426,2,0,67,3,2,selva,21,4,,,false,selva,ordinario
biodiversidad,conservación,0.154929577464789,11,0.0135055148820091,19,0,15,20,3,conservación de la biodiversidad,7,24,,,false,conservación de la biodiversidad,ordinario
,biofisicas,0.28169014084507,5,0.0392726339362036,10,1,30,11,4,dinero y sustento familiar,16,8,,,false,dinero y sustento familiar,ordinario
suelo,conservación,0.140845070422535,13,0.00365320776197803,32,0,12,23,5,erosión,5,34,,,false,erosión,ordinario
,sociales,0.112676056338028,22,0.0464230199121902,7,0,8,33,6,inversionistas,3,44,,,false,inversionistas,ordinario
,sociales,0.0563380281690141,40,0,46,0,4,46,7,salud de las personas,3,45,,,false,salud de las personas,receptor
,biofisicas,0.0704225352112676,36,0.00446241663545487,30,0,10,28,8,madera y postes,6,29,,,false,madera y postes,ordinario
,biofisicas,0.0140845070422535,67,0,47,0,4,50,9,clima,4,39,,,false,clima,receptor
biodiversidad,conservación,0.197183098591549,9,0.0430307530609342,9,0,19,16,10,cambio climático,7,25,,,false,cambio climático,ordinario
biodiversidad,conservación,0.0985915492957747,27,0.00608014610026682,25,1,9,30,11,diversidad de plantas,6,28,,,false,diversidad de plantas,ordinario
biodiversidad,conservación,0.140845070422535,14,0.016991752740362,17,4,30,10,12,fauna,15,10,,,false,fauna,ordinario
agua,conservación,0.0563380281690141,41,0.000938967136150235,38,0,4,51,13,infiltración,3,50,,,false,infiltración,ordinario
,biofisicas,0.0845070422535211,32,0.0452086587942902,8,0,8,37,14,espacio para pastar,5,37,,,false,espacio para pastar,ordinario
manejo,biofisicas,0.225352112676056,7,0.0662759469985177,5,1,42,8,15,alimento para ganado,16,7,,,false,alimento para ganado,ordinario
biodiversidad,conservación,0.140845070422535,15,0.00559811675417073,26,1,18,17,16,árboles,9,18,,,false,árboles,ordinario
suelo,conservación,0.140845070422535,16,0.083495837942518,4,0,10,29,17,conservación del suelo,4,41,,,false,conservación del suelo,ordinario
agua,conservación,0.183098591549296,10,0.033198437292117,13,7,37,9,18,agua,15,9,,,false,agua,ordinario
manejo,ganadería,0.140845070422535,17,0.00320776453987485,33,4,50,4,19,plagas,22,3,,,false,plagas,ordinario
agua,conservación,0.253521126760563,6,0.0352478012118206,11,0,42,7,20,lluvia,15,11,,,false,lluvia,ordinario
,sociales,0.0563380281690141,42,0.0318962258398878,14,2,6,41,21,turismo,4,42,,,false,turismo,ordinario
,sociales,0.0422535211267606,49,0.000704225352112676,40,3,3,57,22,extracción de información,2,61,,,false,extracción de información,ordinario
,sociales,0.0985915492957747,28,0.00401921331913047,31,0,9,31,23,apoyos del gobierno,4,40,,,false,apoyos del gobierno,ordinario
manejo,ganadería,0.225352112676056,8,0.0340685382134074,12,0,42,6,24,quemas,19,6,,,false,quemas,ordinario
manejo,ganadería,0.0985915492957747,29,0.00251365334866341,34,4,10,27,25,machetear,7,23,,,false,machetear,ordinario
manejo,ganadería,0.126760563380282,19,0.0123198105533293,22,0,19,15,26,rociar,14,12,,,false,rociar,ordinario
,biofisicas,0.126760563380282,20,0.0128566637922775,20,0,13,22,27,cultivos,9,16,,,false,cultivos,ordinario
manejo,ganadería,0.535211267605634,1,0.232339259220547,1,7,136,1,28,ganado,27,1,,,false,ganado,ordinario
,biofisicas,0.028169014084507,57,0,48,1,4,47,29,sereno,4,38,,,false,sereno,transmisor
manejo,biofisicas,0.394366197183099,3,0.0287831982985256,15,1,92,2,30,pastos,23,2,,,false,pastos,ordinario
,sociales,0.0985915492957747,30,0.0127733065057009,21,1,8,34,31,mayor terreno,7,22,,,false,mayor terreno,ordinario
manejo,ganadería,0.112676056338028,23,0.0045522818602473,29,1,23,12,32,mantenimiento del lienzo,12,14,,,false,mantenimiento del lienzo,ordinario
manejo,ganadería,0.0704225352112676,37,0.000582063811440069,41,1,8,35,33,rotación de potreros,6,30,,,false,rotación de potreros,ordinario
manejo,biofisicas,0.0563380281690141,43,0,49,7,7,38,34,siembra,5,35,,,false,siembra,ordinario
manejo,ganadería,0.0845070422535211,33,0.00206561583233379,36,4,11,24,35,enfermedades del ganado,5,33,,,false,enfermedades del ganado,ordinario
manejo,ganadería,0.0845070422535211,34,0.00495517541203421,28,5,14,21,36,cuidado veterinario,9,17,,,false,cuidado veterinario,ordinario
biodiversidad,conservación,0.0704225352112676,38,0.000738877710708697,39,4,17,19,37,arbustos y malezas,8,19,,,false,arbustos y malezas,ordinario
,sociales,0.0140845070422535,68,0,50,0,1,72,38,esfuerzo de trabajo,1,73,,,false,esfuerzo de trabajo,receptor
,biofisicas,0.0422535211267606,50,0.0005700871898055,42,6,3,54,39,tiempo,3,46,,,false,tiempo,ordinario
manejo,ganadería,0.323943661971831,4,0.143434238825705,3,0,45,5,40,desmonte,20,5,,,false,desmonte,ordinario
,sociales,0.0422535211267606,51,0,51,3,3,58,41,vivienda,2,62,,,false,vivienda,receptor
agua,conservación,0.154929577464789,12,0.0165263732466952,18,0,21,13,42,huracanes,8,20,,,false,huracanes,ordinario
