"interaction","name","peso","repeticiones","selected","shared interaction","shared name"
"-","plagas del pasto (-) pastos","-1.0","4","false","-","plagas del pasto (-) pastos"
"-","plagas del pasto (-) ganado","-0.8888888888888888","18","false","-","plagas del pasto (-) ganado"
"-","pastos (-) ganado","1.0","16","false","-","pastos (-) ganado"
"-","pastos (-) alimento para ganado","1.0","5","false","-","pastos (-) alimento para ganado"
"-","ganado (-) dinero y sustento familiar","1.0","5","false","-","ganado (-) dinero y sustento familiar"
"-","ganado (-) desmonte","1.0","1","false","-","ganado (-) desmonte"
"-","ganado (-) agua","1.0","1","false","-","ganado (-) agua"
"-","ganado (-) fauna","-1.0","1","false","-","ganado (-) fauna"
"-","alimento para ganado (-) ganado","1.0","15","false","-","alimento para ganado (-) ganado"
"-","alimento para ganado (-) selva","1.0","1","false","-","alimento para ganado (-) selva"
"-","alimento para ganado (-) dinero y sustento familiar","1.0","1","false","-","alimento para ganado (-) dinero y sustento familiar"
"-","desmonte (-) ganado","0.3333333333333333","3","false","-","desmonte (-) ganado"
"-","desmonte (-) selva","-0.75","8","false","-","desmonte (-) selva"
"-","desmonte (-) pastos","1.0","8","false","-","desmonte (-) pastos"
"-","desmonte (-) alimento para ganado","1.0","1","false","-","desmonte (-) alimento para ganado"
"-","desmonte (-) fauna","-1.0","2","false","-","desmonte (-) fauna"
"-","selva (-) fauna","1.0","9","false","-","selva (-) fauna"
"-","selva (-) alimento para ganado","1.0","3","false","-","selva (-) alimento para ganado"
"-","selva (-) agua","1.0","2","false","-","selva (-) agua"
"-","selva (-) plagas del pasto","1.0","1","false","-","selva (-) plagas del pasto"
"-","fauna (-) dinero y sustento familiar","1.0","2","false","-","fauna (-) dinero y sustento familiar"
"-","fauna (-) ganado","-0.7777777777777778","9","false","-","fauna (-) ganado"
"-","fauna (-) plagas del pasto","-1.0","1","false","-","fauna (-) plagas del pasto"
"-","dinero y sustento familiar (-) pastos","1.0","1","false","-","dinero y sustento familiar (-) pastos"
"-","dinero y sustento familiar (-) alimento para ganado","1.0","2","false","-","dinero y sustento familiar (-) alimento para ganado"
"-","agua (-) ganado","1.0","9","false","-","agua (-) ganado"
"-","agua (-) pastos","1.0","4","false","-","agua (-) pastos"
"-","agua (-) alimento para ganado","1.0","1","false","-","agua (-) alimento para ganado"
"-","quemas (-) plagas del pasto","-0.6","10","false","-","quemas (-) plagas del pasto"
"-","quemas (-) selva","-1.0","7","false","-","quemas (-) selva"
"-","quemas (-) fauna","-1.0","2","false","-","quemas (-) fauna"
"-","quemas (-) pastos","0.14285714285714285","7","false","-","quemas (-) pastos"
"-","quemas (-) dinero y sustento familiar","1.0","1","false","-","quemas (-) dinero y sustento familiar"
