"interaction","name","peso","repeticiones","repeticiones_idx","selected","shared interaction","shared name"
"-","huracanes (-) selva","-1.0","1","56","false","-","huracanes (-) selva"
"-","huracanes (-) pastos","-1.0","2","36","false","-","huracanes (-) pastos"
"-","huracanes (-) lluvia","1.0","6","14","false","-","huracanes (-) lluvia"
"-","huracanes (-) mantenimiento del lienzo","-1.0","2","35","false","-","huracanes (-) mantenimiento del lienzo"
"-","mantenimiento del lienzo (-) pastos","1.0","1","45","false","-","mantenimiento del lienzo (-) pastos"
"-","mantenimiento del lienzo (-) ganado","1.0","11","4","false","-","mantenimiento del lienzo (-) ganado"
"-","dinero y sustento familiar (-) mantenimiento del lienzo","1.0","1","55","false","-","dinero y sustento familiar (-) mantenimiento del lienzo"
"-","dinero y sustento familiar (-) alimento para ganado","1.0","2","34","false","-","dinero y sustento familiar (-) alimento para ganado"
"-","dinero y sustento familiar (-) pastos","1.0","1","54","false","-","dinero y sustento familiar (-) pastos"
"-","quemas (-) dinero y sustento familiar","1.0","1","42","false","-","quemas (-) dinero y sustento familiar"
"-","quemas (-) pastos","0.14285714285714285","7","12","false","-","quemas (-) pastos"
"-","quemas (-) fauna","-1.0","2","28","false","-","quemas (-) fauna"
"-","quemas (-) selva","-1.0","7","11","false","-","quemas (-) selva"
"-","quemas (-) plagas","-0.6","10","5","false","-","quemas (-) plagas"
"-","sequía (-) agua","-1.0","2","31","false","-","sequía (-) agua"
"-","sequía (-) plagas","1.0","2","30","false","-","sequía (-) plagas"
"-","sequía (-) pastos","-1.0","5","16","false","-","sequía (-) pastos"
"-","sequía (-) lluvia","-1.0","3","23","false","-","sequía (-) lluvia"
"-","sequía (-) selva","-1.0","1","43","false","-","sequía (-) selva"
"-","sequía (-) ganado","-1.0","2","29","false","-","sequía (-) ganado"
"-","fauna (-) plagas","-1.0","1","44","false","-","fauna (-) plagas"
"-","fauna (-) ganado","-0.7777777777777778","9","7","false","-","fauna (-) ganado"
"-","fauna (-) dinero y sustento familiar","1.0","2","32","false","","fauna (-) dinero y sustento familiar"
"-","lluvia (-) selva","1.0","1","48","false","-","lluvia (-) selva"
"-","lluvia (-) ganado","1.0","1","47","false","-","lluvia (-) ganado"
"-","lluvia (-) alimento para ganado","1.0","1","46","false","-","lluvia (-) alimento para ganado"
"-","lluvia (-) pastos","1.0","7","13","false","-","lluvia (-) pastos"
"-","lluvia (-) agua","0.6","5","17","false","-","lluvia (-) agua"
"-","desmonte (-) sequía","1.0","1","41","false","-","desmonte (-) sequía"
"-","desmonte (-) fauna","-1.0","2","27","false","-","desmonte (-) fauna"
"-","desmonte (-) lluvia","-1.0","2","26","false","-","desmonte (-) lluvia"
"-","desmonte (-) alimento para ganado","1.0","1","40","false","-","desmonte (-) alimento para ganado"
"-","desmonte (-) pastos","1.0","8","10","false","-","desmonte (-) pastos"
"-","desmonte (-) selva","-0.75","8","9","false","-","desmonte (-) selva"
"-","desmonte (-) ganado","0.3333333333333333","3","22","false","-","desmonte (-) ganado"
"-","alimento para ganado (-) dinero y sustento familiar","1.0","1","58","false","-","alimento para ganado (-) dinero y sustento familiar"
"-","alimento para ganado (-) selva","1.0","1","57","false","-","alimento para ganado (-) selva"
"-","alimento para ganado (-) ganado","1.0","15","3","false","-","alimento para ganado (-) ganado"
"-","agua (-) alimento para ganado","1.0","1","39","false","-","agua (-) alimento para ganado"
"-","agua (-) pastos","1.0","4","20","false","-","agua (-) pastos"
"-","agua (-) ganado","1.0","9","6","false","-","agua (-) ganado"
"-","ganado (-) fauna","-1.0","1","53","false","-","ganado (-) fauna"
"-","ganado (-) agua","1.0","1","52","false","-","ganado (-) agua"
"-","ganado (-) desmonte","1.0","1","51","false","-","ganado (-) desmonte"
"-","ganado (-) dinero y sustento familiar","1.0","5","18","false","-","ganado (-) dinero y sustento familiar"
"-","selva (-) lluvia","1.0","1","50","false","-","selva (-) lluvia"
"-","selva (-) plagas","1.0","1","49","false","-","selva (-) plagas"
"-","selva (-) agua","1.0","2","33","false","-","selva (-) agua"
"-","selva (-) alimento para ganado","1.0","3","24","false","-","selva (-) alimento para ganado"
"-","selva (-) fauna","1.0","9","8","false","-","selva (-) fauna"
"-","pastos (-) alimento para ganado","1.0","5","19","false","-","pastos (-) alimento para ganado"
"-","pastos (-) ganado","1.0","16","2","false","-","pastos (-) ganado"
"-","plagas (-) ganado","-0.8888888888888888","18","1","false","-","plagas (-) ganado"
"-","plagas (-) pastos","-1.0","4","21","false","-","plagas (-) pastos"
"-","rociar (-) ganado","1.0","1","38","false","-","rociar (-) ganado"
"-","rociar (-) selva","-1.0","2","25","false","-","rociar (-) selva"
"-","rociar (-) pastos","1.0","1","37","false","-","rociar (-) pastos"
"-","rociar (-) plagas","-1.0","5","15","false","-","rociar (-) plagas"
