"edad","escolaridad_simplificada","extension","num_ganado","propiedad_simplificada","localidad_simplificada","redes_sociales","familiar_estacion","estacion_biologia","participacion_investigaciones"
75,"basica",100,35,"ejidatario","costa",1,0,1,1
70,"media_superior",147,50,"ejidatario","costa",1,0,1,1
68,"basica",12,23,"ejidatario","costa",1,0,1,0
58,"basica",25,30,"ejidatario","costa",1,0,1,1
50,"media_superior",60,20,"no_ejidatario","costa",0,1,1,0
65,"basica",80,30,"ejidatario","costa",0,0,1,0
40,"media_superior",18,18,"ejidatario","costa",1,1,1,1
25,"media_superior",290,65,"no_ejidatario","no_costa",1,1,0,0
80,"ninguna",80,50,"ejidatario","costa",0,1,1,0
75,"basica",10,28,"ejidatario","costa",1,1,1,1
63,"media_superior",60,60,"ejidatario","costa",1,0,1,1
51,"basica",50,13,"ejidatario","no_costa",0,0,1,1
48,"basica",95,17,"ejidatario","no_costa",0,0,0,0
51,"basica",31,10,"ejidatario","no_costa",1,0,1,1
18,"media_superior",18,30,"no_ejidatario","costa",1,1,1,0
55,"basica",20,13,"no_ejidatario","costa",0,0,0,0
47,"basica",20,13,"ejidatario","costa",1,1,1,0
53,"basica",22,17,"ejidatario","costa",1,1,1,0
68,"basica",25,60,"ejidatario","costa",1,1,1,1
52,"basica",20,12,"no_ejidatario","costa",1,1,1,1
40,"basica",97,80,"no_ejidatario","no_costa",1,0,0,0
45,"basica",62,20,"no_ejidatario","no_costa",0,0,0,0
74,"ninguna",18,17,"ejidatario","no_costa",0,1,1,1
60,"basica",100,50,"no_ejidatario","no_costa",0,0,1,1
19,"media_superior",100,6,"no_ejidatario","no_costa",1,0,1,1
40,"basica",30,20,"ejidatario","no_costa",1,1,0,0
63,"basica",55,10,"ejidatario","no_costa",1,0,0,0
