,0
ganado,0.4999770780492314
dinero y sustento familiar,0.4999444954280726
alimento para ganado,0.4999175414715956
pastos,0.4993882246944805
mantenimiento del lienzo,0.47983682195423305
agua,0.47575661378197376
fertilidad del suelo,0.466192640167586
infiltración,0.444442416229085
bebederos y represas,0.4421803435132956
conservación del suelo,0.44144729876645417
siembra,0.43299102799488587
cuidado veterinario,0.4251278362637625
huracanes,0.4175214839006659
enfermedades del ganado,0.4163423478222046
bienestar,0.41330516402718565
rotación de potreros,0.38736096884139504
erosión,0.3842039385036593
turismo,0.3722716750270374
sequía,0.37162068928735437
madera y postes,0.3689379363660632
gobierno,0.36599407810533713
monte,0.3581822790608996
conservación de la biodiversidad,0.3265609294003122
clima,0.28753272900325044
educación,0.28295182307402966
polinizadores,0.28295182307402966
tradicion ganadera,0.28295182307402966
organización,0.28295182307402966
suelo desmontado,0.2662285962812415
gusto por la ganadería,0.25330334738762283
árboles,0.22790775320214796
mayor terreno,0.22478198265286953
inversionistas,0.14516867615664752
cambio climático,0.12231772652411688
esfuerzo de trabajo,0.1195873822340241
machetear,0.11544882575186222
vivienda,0.09250926706622975
diversidad de plantas,0.08952927395349608
rociar,0.03273350410875331
belleza del paisaje,0.02632442814735947
selva,0.023519537149527814
lluvia,0.00852338124738683
descanso del suelo,0.0
frio,0.0
acceso a playas,0.0
migración,0.0
venaderos,0.0
sereno,0.0
negocios,0.0
cuixmala,0.0
remesas,0.0
mar,0.0
herramienta de trabajo,0.0
tala,0.0
estudios e investigación,0.0
biólgos,0.0
tormenta,0.0
industrias,0.0
contaminación,0.0
tiempo,0.0
acarrear agua,0.0
cauce de ríos,0.0
estación de biología de chamela,0.0
plagas del ganado,0.0
gases de efecto invernadero,0.0
plagas,-0.036808550213017044
apoyos del gobierno,-0.04819125435472227
cultivos,-0.06454909090035699
desmonte,-0.07924160716418621
salud de las personas,-0.16677927974931323
extracción de información,-0.1994349498516147
arbustos y malezas,-0.21065205130632392
espacio para pastar,-0.2568457082955524
quemas,-0.3682448077317828
fauna,-0.3698763005353971
