"nodos" "enlaces" "receptores" "transmisores" "ordinarios" "prop_pos_neg" "grado" "intermediacion" "densidad" "complejidad" "jerarquia"
"edad" 0.124223825248195 0.349107622034724 0.409848861252277 0.630960786080494 0.210855128272058 0.389238706595183 0.354477043733403 0.232636186685848 0.148532847582608 0.888579955670267 0.180985281911121
"escolaridad_simplificada" 1.33599401420234e-05 9.26882088125914e-09 0.091595545656505 0.679199190250322 0.139586204630997 0.195355695362548 0.180030134891703 0.616107970067464 0.10459619856461 0.327680657587229 0.174975450264068
"extension" 0.00233217353912276 0.000395711271016047 0.881836691608185 0.855521453011937 0.998820536573002 0.777394215000963 0.706398082613677 0.484302600100521 0.133441241989037 0.57525417570159 0.181444480903287
"num_ganado" 0.0554647267552929 0.119026946798074 0.4916465677983 0.737578889172823 0.98270949360064 0.0621381026167846 0.236069741552283 0.93332248869021 0.115245290862434 0.851431714519974 0.137362940655469
"propiedad_simplificada" 0.0467143623670927 0.0963944985312319 0.368541116709318 0.368017197054539 0.0941661139509171 0.424920338229847 0.5801142028062 0.435508679496778 0.100609802371916 0.574722209276467 0.116528542670112
"localidad_simplificada" 0.00661444262678272 0.000289391327314232 0.964477121455313 0.0093941543063493 0.115097679987337 0.33159547214853 0.231817358017942 0.887754634632729 0.325834582826664 0.239596760444776 0.367782079345538
"redes_sociales" 0.407443149002307 0.196905896232333 0.544993319489671 0.264019837115855 0.842424225339099 0.464232642069236 0.725560201697129 0.576972619136193 0.799871903378918 0.374387591296301 0.81477575377809
"familiar_estacion" 0.710716723405362 0.284876361631221 0.121525669463866 0.307647765741426 0.0339665935902132 0.764149029256486 0.230150558891993 0.30846933620786 0.552858720251898 0.954277612109033 0.558762737330493
"estacion_biologia" 0.0125668937739073 0.00316386940973584 0.82783577859869 0.964729897181612 0.917844212487122 0.486898340129925 0.521658532336151 0.766701293506423 0.189169181582474 0.804535246356727 0.214465422938612
"participacion_investigaciones" 0.0770488281252782 0.0641377966795875 0.919991600457281 0.699738556630016 0.561219723039599 0.103524852270242 0.903986764791576 0.683403754385659 0.194046131848291 0.602186497623245 0.229394291862535
